title,cluster,rating
Toy Story (1995),1,3.9209302325581397
Jumanji (1995),1,3.4318181818181817
Grumpier Old Men (1995),1,3.2596153846153846
Father of the Bride Part II (1995),1,3.0714285714285716
Heat (1995),1,3.946078431372549
Sabrina (1995),1,3.185185185185185
Sudden Death (1995),1,3.125
GoldenEye (1995),1,3.496212121212121
"American President, The (1995)",1,3.6714285714285713
Nixon (1995),1,3.8333333333333335
Casino (1995),1,3.926829268292683
Sense and Sensibility (1995),1,3.7761194029850746
Four Rooms (1995),1,3.7
Get Shorty (1995),1,3.49438202247191
Copycat (1995),1,3.2222222222222223
Assassins (1995),1,3.125
Powder (1995),1,3.125
Leaving Las Vegas (1995),1,3.625
Othello (1995),1,3.5
Persuasion (1995),1,4.2272727272727275
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,4.0131578947368425
Dangerous Minds (1995),1,3.1842105263157894
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1,3.983050847457627
Babe (1995),1,3.65234375
Dead Man Walking (1995),1,3.8358208955223883
Clueless (1995),1,3.293269230769231
Richard III (1995),1,3.7
To Die For (1995),1,3.3125
How to Make an American Quilt (1995),1,3.066666666666667
Seven (a.k.a. Se7en) (1995),1,3.9753694581280787
Pocahontas (1995),1,3.1470588235294117
"Usual Suspects, The (1995)",1,4.237745098039215
Mighty Aphrodite (1995),1,3.4642857142857144
"Postman, The (Postino, Il) (1994)",1,4.027027027027027
"Indian in the Cupboard, The (1995)",1,3.235294117647059
Mr. Holland's Opus (1995),1,3.70625
Friday (1995),1,3.775
From Dusk Till Dawn (1996),1,3.5090909090909093
"Misérables, Les (1995)",1,3.4615384615384617
Screamers (1995),1,3.4
Things to Do in Denver When You're Dead (1995),1,3.107142857142857
White Squall (1996),1,3.966666666666667
Black Sheep (1996),1,3.15625
Nick of Time (1995),1,3.25
Beautiful Girls (1996),1,3.95
Broken Arrow (1996),1,3.0238095238095237
"Hate (Haine, La) (1995)",1,3.9
Bottle Rocket (1996),1,3.782608695652174
Happy Gilmore (1996),1,3.4393939393939394
"Bridges of Madison County, The (1995)",1,3.282608695652174
Muppet Treasure Island (1996),1,3.326923076923077
Braveheart (1995),1,4.031645569620253
Taxi Driver (1976),1,4.105769230769231
